1[7, 26, 8, 19, 16, 1, 10, 23, 13, 27, 30, 17, 12, 2, 9, 18, 3, 5, 6, 11, 29, 21, 14, 15, 20, 22, 4, 24, 25, 28][1338.08735470883
2[25, 28, 11, 29, 24, 4, 22, 21, 20, 5, 6, 15, 3, 14, 1, 2, 16, 7, 13, 8, 26, 30, 9, 10, 12, 17, 19, 23, 18, 27][1142.569968138834
3[18, 27, 7, 9, 29, 21, 10, 12, 1, 8, 4, 17, 25, 2, 15, 6, 22, 5, 11, 13, 20, 23, 24, 28, 19, 16, 26, 14, 30, 3][1590.745599578735
4[16, 3, 13, 22, 26, 30, 24, 14, 28, 5, 19, 23, 11, 20, 1, 2, 12, 7, 27, 17, 8, 25, 9, 18, 10, 15, 6, 21, 4, 29][1338.992225455173
5[22, 21, 29, 7, 10, 1, 15, 28, 19, 16, 9, 14, 8, 3, 23, 2, 4, 11, 18, 17, 20, 5, 24, 30, 25, 26, 13, 27, 6, 12][1497.9468114621345
6[12, 24, 27, 17, 26, 25, 5, 18, 11, 30, 6, 13, 4, 20, 3, 2, 23, 7, 9, 19, 8, 10, 14, 21, 15, 16, 22, 28, 29, 1][1809.467137084251
7[29, 22, 18, 14, 15, 5, 7, 30, 2, 28, 13, 16, 6, 12, 3, 25, 24, 10, 4, 9, 11, 8, 17, 19, 20, 1, 21, 26, 27, 23][1483.563745760698
8[23, 17, 9, 19, 8, 10, 27, 21, 26, 24, 20, 11, 4, 1, 29, 3, 25, 22, 5, 30, 7, 12, 13, 14, 16, 15, 6, 18, 28, 2][1505.8894372910358
9[24, 10, 13, 28, 12, 8, 14, 3, 20, 1, 7, 18, 27, 23, 29, 19, 6, 11, 21, 9, 15, 5, 16, 2, 25, 17, 26, 4, 30, 22][1316.1470915627322
10[25, 22, 5, 30, 26, 11, 4, 21, 16, 15, 6, 17, 9, 2, 1, 12, 29, 24, 8, 13, 19, 14, 18, 10, 7, 3, 20, 23, 28, 27][1359.7654442412213
11[20, 11, 21, 23, 13, 5, 1, 2, 25, 12, 27, 4, 30, 22, 26, 6, 3, 8, 9, 14, 17, 19, 15, 16, 18, 28, 7, 10, 24, 29][1303.6169471466374
12[29, 24, 8, 16, 19, 14, 18, 10, 7, 3, 15, 17, 28, 9, 4, 2, 11, 30, 6, 13, 20, 22, 21, 25, 23, 12, 26, 1, 5, 27][1288.2016882741907
13[23, 26, 20, 14, 17, 19, 6, 4, 18, 27, 7, 10, 24, 13, 9, 2, 3, 30, 5, 11, 8, 12, 28, 1, 15, 16, 21, 22, 25, 29][1420.8100189643462
14[11, 30, 28, 29, 16, 22, 21, 25, 15, 12, 8, 1, 5, 3, 9, 2, 20, 6, 7, 10, 13, 14, 18, 17, 4, 19, 23, 26, 27, 24][1420.807702525972
15[10, 30, 23, 18, 8, 14, 28, 1, 19, 7, 13, 26, 2, 6, 9, 29, 11, 12, 5, 21, 4, 24, 27, 25, 3, 17, 15, 16, 20, 22][1455.400509400412
16[20, 5, 3, 16, 15, 12, 11, 17, 4, 21, 22, 25, 27, 24, 26, 13, 19, 7, 9, 29, 8, 10, 2, 30, 1, 14, 6, 18, 23, 28][1371.4379976757668
17[11, 28, 5, 21, 4, 24, 27, 25, 3, 17, 18, 10, 7, 22, 26, 13, 29, 2, 9, 6, 12, 30, 8, 14, 15, 16, 1, 19, 20, 23][1345.3422538439893
18[19, 16, 9, 29, 8, 15, 2, 30, 1, 14, 6, 20, 23, 12, 22, 5, 7, 4, 10, 24, 3, 11, 13, 18, 17, 21, 25, 28, 26, 27][1583.6506873797773
19[29, 10, 9, 11, 12, 30, 17, 5, 26, 21, 1, 7, 27, 13, 22, 15, 20, 2, 3, 4, 24, 25, 16, 8, 18, 14, 6, 19, 28, 23][1471.2119093471783
20[20, 4, 23, 24, 3, 19, 16, 18, 14, 6, 25, 28, 8, 2, 10, 5, 13, 9, 26, 15, 27, 29, 22, 7, 12, 1, 11, 21, 30, 17][1364.1987101946686
21[20, 30, 29, 13, 24, 25, 5, 8, 15, 14, 6, 19, 28, 27, 10, 2, 1, 7, 23, 9, 11, 12, 21, 16, 17, 18, 22, 26, 4, 3][1395.469952872071
22[3, 9, 26, 16, 18, 4, 22, 7, 12, 1, 11, 21, 23, 17, 8, 10, 6, 13, 20, 5, 15, 19, 25, 2, 28, 29, 24, 14, 27, 30][1527.5510723608445
23[30, 7, 23, 19, 28, 15, 21, 29, 17, 25, 13, 10, 4, 3, 8, 16, 1, 26, 5, 6, 9, 20, 12, 11, 2, 14, 18, 22, 24, 27][1326.8396386485758
24[6, 9, 20, 5, 1, 11, 12, 2, 26, 22, 24, 14, 27, 18, 4, 3, 16, 7, 8, 15, 29, 17, 19, 13, 21, 25, 28, 10, 23, 30][1502.6045141175357
25[19, 26, 4, 21, 30, 20, 12, 11, 2, 28, 7, 17, 8, 15, 14, 3, 1, 6, 25, 9, 10, 29, 13, 16, 27, 22, 23, 24, 5, 18][1349.4791527787725
26[16, 27, 6, 5, 29, 9, 22, 13, 1, 25, 18, 10, 23, 24, 2, 4, 3, 8, 11, 14, 28, 12, 26, 17, 15, 19, 7, 20, 21, 30][1439.3327928081108
27[11, 30, 25, 20, 21, 29, 4, 2, 27, 14, 15, 19, 5, 18, 23, 16, 8, 1, 9, 22, 10, 7, 28, 12, 13, 3, 24, 26, 6, 17][1400.1257231455743
28[3, 8, 1, 24, 28, 12, 26, 17, 6, 10, 7, 9, 13, 22, 4, 30, 14, 21, 15, 23, 16, 19, 27, 11, 2, 20, 25, 5, 29, 18][1615.501146685915
29[8, 19, 25, 22, 29, 7, 28, 4, 14, 3, 16, 15, 6, 17, 1, 30, 2, 10, 5, 13, 18, 11, 12, 24, 20, 9, 21, 27, 23, 26][1379.8759721017836
30[24, 21, 12, 23, 26, 10, 27, 11, 2, 20, 9, 5, 13, 18, 8, 25, 19, 3, 1, 4, 7, 17, 15, 16, 22, 14, 29, 28, 30, 6][1532.2409480024867
31[4, 10, 1, 17, 30, 11, 12, 24, 22, 9, 7, 27, 29, 26, 8, 25, 2, 15, 19, 6, 3, 23, 5, 13, 14, 16, 28, 20, 18, 21][1351.3597671749192
32[19, 3, 20, 18, 23, 21, 15, 16, 5, 14, 13, 28, 2, 6, 29, 1, 4, 8, 9, 11, 12, 30, 24, 17, 10, 26, 25, 22, 27, 7][1527.6908816938746
33[11, 15, 19, 6, 27, 23, 4, 9, 1, 26, 28, 20, 12, 17, 29, 13, 14, 3, 5, 8, 30, 7, 18, 10, 2, 21, 16, 25, 22, 24][1350.5508216051705
34[14, 8, 16, 3, 5, 30, 24, 2, 10, 18, 25, 22, 21, 7, 6, 11, 27, 28, 15, 26, 19, 1, 13, 9, 12, 4, 20, 23, 17, 29][1490.5297794850683
35[14, 15, 5, 8, 30, 11, 29, 10, 2, 20, 16, 25, 23, 19, 6, 7, 9, 3, 1, 4, 12, 17, 26, 13, 18, 21, 28, 27, 22, 24][1433.4824018122292
36[27, 28, 21, 26, 18, 1, 13, 9, 12, 4, 22, 24, 17, 3, 2, 6, 16, 19, 10, 7, 11, 14, 5, 15, 20, 23, 29, 30, 8, 25][1445.5659985908335
37[9, 3, 20, 14, 12, 17, 26, 11, 2, 30, 28, 27, 10, 15, 21, 6, 7, 24, 22, 29, 1, 8, 13, 5, 19, 23, 4, 25, 16, 18][1488.3794510068844
38[16, 19, 18, 7, 13, 1, 5, 4, 22, 23, 29, 24, 8, 25, 10, 2, 28, 30, 21, 6, 11, 17, 12, 3, 9, 26, 15, 14, 20, 27][1381.4338072661953
39[27, 24, 22, 29, 1, 2, 17, 5, 20, 11, 4, 6, 16, 18, 10, 23, 21, 3, 26, 9, 12, 15, 14, 8, 13, 25, 28, 19, 7, 30][1319.7455366208742
40[28, 30, 21, 19, 13, 25, 12, 3, 9, 26, 15, 14, 7, 8, 10, 22, 4, 5, 2, 1, 6, 11, 18, 16, 17, 20, 24, 23, 27, 29][1450.5353493774812
41[21, 24, 26, 11, 29, 15, 6, 8, 13, 20, 4, 19, 7, 17, 10, 22, 28, 14, 1, 2, 3, 27, 5, 25, 9, 12, 18, 16, 23, 30][1452.5096682212256
42[12, 5, 2, 1, 3, 25, 18, 16, 14, 30, 28, 23, 27, 9, 6, 26, 7, 10, 11, 13, 20, 8, 17, 19, 15, 21, 24, 29, 4, 22][1482.3658434815436
43[28, 14, 24, 17, 7, 27, 29, 25, 10, 21, 18, 19, 11, 30, 6, 26, 1, 2, 5, 12, 3, 22, 4, 8, 9, 15, 16, 13, 20, 23][1547.9804620134596
44[9, 3, 16, 13, 20, 8, 1, 5, 15, 2, 12, 23, 4, 22, 19, 11, 14, 6, 21, 24, 30, 25, 17, 26, 29, 18, 7, 27, 28, 10][1364.9318113327595
45[25, 28, 5, 12, 21, 22, 14, 26, 11, 15, 16, 27, 20, 24, 19, 13, 1, 2, 4, 9, 23, 8, 3, 6, 7, 17, 18, 10, 29, 30][1379.6556058307783
46[8, 6, 23, 3, 30, 9, 17, 4, 29, 18, 7, 2, 1, 10, 5, 14, 11, 19, 12, 13, 15, 24, 22, 25, 16, 20, 21, 27, 26, 28][1553.2432084065279
47[21, 20, 4, 9, 23, 8, 3, 28, 15, 16, 5, 10, 13, 11, 2, 14, 1, 7, 12, 6, 29, 27, 17, 22, 30, 24, 25, 19, 18, 26][1471.8758071937846
48[18, 19, 12, 29, 7, 24, 22, 25, 30, 6, 1, 27, 26, 17, 3, 21, 4, 5, 8, 11, 13, 9, 2, 15, 14, 16, 10, 20, 28, 23][1575.967377588398
