741:[[19], [14], [30], [26], [9], [4], [21], [17], [6], [23], [16], [7], [27], [8], [3], [20], [2], [25], [18], [11], [24], [5], [1], [22], [28], [10], [13], [12], [15], [29]]
391:[[20], [2], [30], [14], [24], [22], [19], [28], [3], [21], [15], [9], [23], [4], [27], [10], [18], [13], [8], [12], [29], [6], [5], [17], [16], [7], [1], [11], [26], [25]]
738:[[29], [22], [7], [20], [12], [19], [1], [6], [11], [30], [28], [17], [15], [14], [27], [24], [18], [23], [25], [3], [21], [16], [5], [10], [26], [8], [2], [13], [4], [9]]
935:[[1], [2], [24], [3], [12], [22], [26], [23], [4], [9], [25], [8], [11], [13], [5], [7], [21], [6], [28], [15], [14], [27], [29], [18], [17], [30], [10], [19], [16], [20]]
846:[[12], [8], [15], [26], [25], [17], [6], [28], [29], [18], [10], [4], [13], [16], [24], [5], [19], [30], [1], [20], [9], [2], [23], [27], [7], [14], [22], [11], [3], [21]]
612:[[3], [25], [1], [7], [5], [28], [27], [30], [14], [12], [20], [10], [6], [9], [26], [16], [24], [15], [4], [8], [19], [11], [17], [21], [2], [23], [29], [22], [18], [13]]
438:[[1], [10], [27], [17], [23], [13], [9], [29], [14], [25], [6], [11], [8], [21], [22], [5], [28], [18], [7], [2], [20], [16], [19], [26], [3], [24], [30], [4], [12], [15]]
897:[[12], [3], [25], [16], [9], [26], [10], [15], [18], [17], [27], [7], [13], [23], [6], [4], [29], [2], [1], [22], [20], [11], [21], [28], [8], [24], [14], [19], [5], [30]]
528:[[3], [27], [22], [29], [18], [13], [1], [2], [8], [11], [9], [7], [12], [6], [20], [16], [17], [28], [26], [15], [21], [25], [10], [14], [23], [24], [5], [30], [19], [4]]
688:[[3], [25], [19], [9], [28], [18], [20], [1], [13], [27], [2], [14], [11], [24], [26], [10], [30], [12], [8], [4], [5], [21], [7], [23], [6], [16], [17], [29], [15], [22]]
251:[[4], [20], [28], [2], [29], [23], [12], [15], [17], [11], [25], [14], [3], [22], [5], [10], [26], [1], [27], [24], [13], [8], [16], [18], [6], [19], [21], [30], [7], [9]]
910:[[6], [12], [7], [11], [16], [29], [4], [18], [9], [22], [24], [14], [25], [15], [1], [8], [26], [3], [10], [28], [27], [13], [5], [19], [23], [30], [20], [2], [21], [17]]
5:[[18], [30], [26], [28], [6], [23], [19], [7], [22], [20], [1], [27], [11], [16], [8], [17], [9], [5], [4], [21], [3], [25], [10], [14], [12], [15], [13], [24], [29], [2]]
1000:[[26], [5], [18], [8], [15], [28], [11], [10], [16], [4], [12], [23], [7], [27], [3], [30], [25], [22], [2], [29], [14], [21], [9], [13], [17], [1], [20], [24], [6], [19]]
961:[[17], [25], [13], [14], [28], [10], [21], [12], [20], [5], [6], [1], [23], [9], [19], [29], [18], [3], [15], [16], [4], [11], [8], [30], [27], [2], [7], [22], [24], [26]]
330:[[4], [12], [7], [22], [29], [5], [24], [17], [10], [19], [1], [13], [23], [16], [8], [20], [25], [3], [26], [28], [27], [9], [21], [2], [6], [14], [11], [18], [30], [15]]
381:[[11], [6], [27], [25], [20], [7], [16], [22], [17], [24], [18], [28], [29], [14], [10], [13], [9], [3], [23], [2], [12], [8], [15], [1], [26], [5], [4], [30], [21], [19]]
409:[[12], [22], [26], [19], [29], [13], [7], [3], [1], [17], [2], [23], [6], [18], [11], [5], [25], [15], [4], [27], [20], [24], [8], [30], [21], [16], [9], [10], [14], [28]]
146:[[9], [19], [23], [21], [15], [14], [12], [22], [7], [4], [20], [29], [6], [16], [10], [8], [1], [2], [30], [18], [24], [13], [25], [5], [11], [28], [27], [17], [26], [3]]
603:[[22], [9], [30], [19], [2], [28], [12], [29], [15], [5], [14], [18], [25], [7], [10], [20], [6], [23], [8], [16], [21], [26], [1], [17], [4], [13], [3], [24], [11], [27]]
413:[[19], [4], [20], [30], [8], [7], [27], [5], [13], [24], [3], [15], [17], [9], [21], [23], [14], [12], [6], [26], [10], [29], [22], [28], [18], [25], [2], [1], [16], [11]]
669:[[13], [12], [6], [22], [3], [9], [14], [8], [1], [2], [4], [21], [25], [11], [15], [18], [30], [24], [5], [10], [19], [29], [26], [27], [20], [28], [7], [16], [17], [23]]
830:[[6], [4], [23], [28], [15], [18], [27], [1], [25], [14], [26], [2], [24], [20], [22], [8], [11], [21], [10], [16], [17], [30], [5], [7], [13], [19], [29], [12], [9], [3]]
159:[[28], [22], [3], [4], [12], [21], [29], [20], [26], [14], [30], [15], [18], [6], [16], [23], [9], [2], [11], [24], [27], [7], [13], [5], [1], [19], [25], [10], [8], [17]]
762:[[13], [1], [14], [11], [3], [17], [26], [20], [18], [19], [29], [5], [15], [8], [23], [25], [24], [12], [16], [10], [2], [28], [27], [4], [21], [9], [22], [6], [30], [7]]
666:[[9], [6], [4], [26], [8], [30], [3], [10], [7], [20], [19], [1], [23], [2], [29], [22], [21], [13], [17], [18], [25], [14], [16], [27], [15], [5], [12], [28], [24], [11]]
261:[[20], [13], [24], [23], [9], [4], [25], [26], [5], [27], [28], [15], [30], [14], [22], [8], [1], [29], [10], [16], [12], [21], [2], [7], [18], [17], [6], [3], [19], [11]]
326:[[5], [18], [1], [19], [14], [7], [13], [12], [21], [22], [2], [26], [3], [6], [29], [10], [24], [20], [27], [16], [15], [9], [17], [8], [11], [28], [23], [30], [4], [25]]
703:[[18], [16], [22], [15], [29], [1], [4], [9], [27], [30], [10], [8], [17], [5], [28], [20], [12], [14], [23], [19], [26], [21], [7], [6], [11], [24], [3], [25], [13], [2]]
208:[[24], [10], [13], [28], [12], [8], [14], [3], [20], [1], [7], [18], [27], [23], [29], [19], [25], [22], [5], [30], [26], [11], [4], [21], [16], [15], [6], [17], [9], [2]]
968:[[1], [12], [23], [14], [10], [11], [29], [16], [22], [13], [5], [30], [8], [26], [15], [9], [28], [27], [3], [25], [4], [19], [20], [6], [18], [17], [24], [2], [21], [7]]
557:[[26], [11], [8], [4], [12], [24], [20], [28], [6], [22], [16], [14], [21], [18], [13], [2], [27], [19], [15], [7], [5], [23], [3], [25], [30], [10], [1], [17], [29], [9]]
23:[[4], [28], [9], [26], [14], [27], [19], [29], [15], [8], [11], [10], [20], [17], [25], [13], [2], [30], [6], [24], [23], [18], [1], [5], [7], [21], [12], [3], [22], [16]]
804:[[20], [21], [10], [18], [23], [22], [9], [19], [2], [4], [6], [24], [17], [16], [1], [8], [25], [7], [28], [13], [14], [30], [3], [12], [11], [29], [5], [27], [26], [15]]
79:[[12], [13], [16], [4], [22], [27], [2], [28], [3], [10], [15], [24], [8], [18], [14], [19], [23], [25], [11], [17], [26], [7], [21], [1], [20], [9], [30], [6], [5], [29]]
246:[[29], [2], [6], [9], [5], [26], [14], [18], [28], [15], [22], [17], [12], [23], [16], [20], [10], [11], [19], [30], [8], [21], [1], [4], [7], [27], [13], [24], [25], [3]]
143:[[24], [17], [3], [5], [9], [2], [7], [21], [11], [18], [14], [16], [15], [1], [12], [6], [4], [30], [19], [20], [8], [28], [26], [10], [23], [13], [25], [27], [29], [22]]
127:[[30], [25], [24], [21], [29], [6], [26], [17], [19], [15], [12], [16], [18], [5], [27], [13], [20], [28], [9], [10], [8], [4], [7], [23], [1], [22], [14], [11], [2], [3]]
203:[[8], [19], [2], [9], [16], [1], [24], [27], [17], [6], [30], [22], [26], [21], [4], [20], [10], [7], [12], [3], [15], [18], [5], [13], [25], [28], [29], [11], [23], [14]]
785:[[5], [19], [30], [20], [18], [11], [2], [6], [7], [13], [17], [21], [27], [1], [8], [24], [9], [23], [15], [22], [16], [14], [4], [12], [29], [26], [3], [25], [28], [10]]
575:[[25], [14], [19], [20], [1], [17], [21], [29], [23], [28], [6], [12], [7], [18], [27], [26], [4], [15], [3], [8], [10], [30], [24], [16], [11], [22], [5], [2], [9], [13]]
763:[[1], [25], [26], [15], [24], [4], [9], [20], [18], [2], [11], [14], [17], [30], [27], [7], [22], [29], [28], [16], [19], [23], [12], [21], [5], [13], [3], [8], [10], [6]]
461:[[19], [17], [28], [1], [26], [4], [27], [29], [8], [16], [20], [22], [7], [24], [3], [23], [11], [9], [14], [12], [21], [5], [15], [25], [30], [2], [6], [13], [18], [10]]
937:[[7], [23], [22], [15], [8], [21], [25], [1], [18], [11], [13], [30], [27], [9], [20], [26], [6], [17], [4], [29], [3], [5], [19], [14], [12], [2], [28], [10], [24], [16]]
634:[[20], [10], [27], [9], [11], [17], [14], [28], [3], [8], [19], [21], [5], [15], [23], [18], [29], [22], [12], [1], [30], [2], [4], [6], [24], [26], [13], [16], [7], [25]]
918:[[18], [17], [10], [11], [12], [23], [21], [26], [28], [3], [1], [14], [30], [2], [22], [5], [24], [8], [16], [6], [29], [15], [20], [27], [13], [19], [9], [7], [25], [4]]
187:[[10], [13], [28], [17], [18], [21], [20], [22], [11], [26], [3], [1], [23], [19], [14], [5], [12], [27], [4], [24], [15], [29], [25], [2], [9], [6], [8], [30], [16], [7]]
881:[[2], [22], [27], [13], [5], [16], [21], [28], [6], [19], [1], [20], [4], [9], [24], [23], [14], [11], [8], [15], [12], [25], [18], [3], [17], [30], [7], [29], [26], [10]]
753:[[8], [1], [25], [21], [27], [5], [16], [23], [13], [9], [24], [7], [11], [12], [4], [10], [2], [3], [15], [26], [6], [18], [28], [19], [22], [20], [29], [17], [14], [30]]
689:[[7], [8], [1], [9], [22], [23], [11], [28], [29], [20], [19], [21], [17], [12], [30], [5], [6], [18], [24], [2], [10], [27], [13], [26], [15], [25], [3], [4], [14], [16]]
202:[[5], [17], [3], [4], [13], [26], [19], [15], [21], [14], [25], [29], [9], [22], [30], [8], [20], [10], [16], [24], [27], [18], [28], [23], [6], [12], [7], [11], [1], [2]]
930:[[19], [30], [4], [11], [22], [25], [9], [8], [15], [29], [21], [13], [2], [26], [20], [16], [14], [17], [18], [12], [24], [27], [5], [1], [10], [6], [28], [23], [7], [3]]
663:[[2], [16], [12], [4], [25], [17], [22], [7], [28], [27], [23], [10], [15], [18], [8], [26], [1], [21], [20], [14], [3], [9], [29], [11], [24], [5], [6], [30], [13], [19]]
300:[[16], [17], [10], [9], [7], [26], [11], [22], [28], [3], [15], [12], [29], [8], [4], [23], [27], [2], [18], [19], [6], [1], [30], [20], [14], [21], [24], [13], [5], [25]]
305:[[15], [28], [8], [25], [11], [4], [6], [18], [26], [19], [7], [20], [9], [22], [16], [17], [13], [29], [3], [2], [1], [21], [5], [24], [23], [14], [10], [27], [12], [30]]
9:[[24], [21], [9], [29], [12], [3], [27], [13], [20], [8], [2], [1], [11], [7], [4], [22], [17], [25], [5], [10], [16], [6], [18], [26], [30], [14], [19], [28], [15], [23]]
444:[[10], [29], [8], [18], [24], [3], [25], [20], [22], [28], [15], [4], [1], [11], [5], [13], [9], [2], [27], [16], [19], [12], [14], [23], [6], [26], [21], [30], [17], [7]]
422:[[13], [2], [20], [22], [16], [21], [25], [30], [17], [8], [24], [6], [29], [9], [5], [15], [26], [27], [28], [11], [1], [4], [14], [10], [18], [19], [23], [7], [3], [12]]
890:[[3], [13], [20], [16], [1], [10], [18], [22], [30], [14], [2], [23], [28], [12], [9], [24], [7], [11], [5], [25], [8], [21], [29], [15], [17], [6], [27], [4], [26], [19]]
130:[[22], [14], [15], [2], [28], [11], [18], [7], [3], [24], [29], [19], [12], [21], [8], [16], [27], [25], [9], [17], [20], [1], [5], [30], [6], [10], [13], [23], [4], [26]]
610:[[10], [26], [24], [12], [7], [14], [30], [6], [25], [13], [18], [1], [27], [4], [3], [22], [15], [11], [8], [19], [23], [5], [29], [28], [9], [17], [20], [16], [2], [21]]
371:[[19], [12], [13], [23], [10], [20], [9], [4], [6], [21], [24], [30], [28], [7], [3], [15], [22], [29], [5], [2], [26], [8], [18], [1], [27], [25], [14], [16], [11], [17]]
875:[[13], [14], [30], [23], [8], [26], [4], [18], [6], [10], [15], [19], [29], [28], [3], [5], [27], [11], [20], [1], [21], [17], [25], [7], [22], [24], [2], [16], [12], [9]]
264:[[16], [5], [24], [1], [20], [17], [6], [11], [19], [25], [21], [13], [30], [7], [2], [10], [27], [28], [4], [3], [22], [29], [23], [14], [26], [9], [18], [15], [12], [8]]
205:[[1], [9], [14], [12], [2], [16], [26], [13], [8], [23], [3], [18], [25], [28], [11], [19], [15], [24], [30], [27], [6], [4], [29], [21], [17], [7], [10], [22], [20], [5]]
456:[[19], [13], [4], [6], [14], [30], [28], [5], [10], [17], [29], [24], [7], [12], [26], [23], [8], [27], [3], [25], [1], [9], [2], [21], [18], [20], [22], [15], [16], [11]]
866:[[14], [12], [3], [1], [26], [23], [5], [19], [16], [9], [6], [13], [7], [21], [24], [10], [30], [15], [8], [29], [4], [2], [28], [25], [22], [11], [18], [17], [27], [20]]
736:[[23], [10], [19], [5], [3], [1], [11], [26], [8], [21], [4], [9], [20], [24], [13], [15], [18], [28], [6], [29], [30], [14], [27], [17], [25], [16], [2], [22], [12], [7]]
47:[[20], [29], [27], [30], [16], [26], [8], [2], [10], [5], [22], [25], [24], [15], [6], [17], [28], [4], [14], [9], [3], [21], [23], [7], [1], [12], [11], [13], [18], [19]]
255:[[24], [2], [4], [22], [26], [15], [13], [25], [11], [30], [8], [3], [16], [20], [6], [19], [27], [23], [17], [29], [21], [1], [18], [7], [14], [10], [28], [5], [9], [12]]
148:[[15], [26], [19], [13], [7], [20], [22], [27], [25], [3], [29], [16], [9], [6], [28], [12], [11], [30], [24], [8], [10], [2], [23], [5], [14], [4], [18], [17], [21], [1]]
